,INFP,ENFP,INFJ,ENFJ,INTJ,ENTJ,INTP,ENTP,ISFP,ESFP,ISTP,ESTP,ISFJ,ESFJ,ISTJ,ESTJ
INFP,4,4,4,5,4,5,4,4,1,1,1,1,1,1,1,1
ENFP,4,4,5,4,5,4,4,4,1,1,1,1,1,1,1,1
INFJ,4,5,4,4,4,4,4,5,1,1,1,1,1,1,1,1
ENFJ,5,4,4,4,4,4,4,4,5,1,1,1,1,1,1,1
INTJ,4,5,4,4,4,4,4,5,3,3,3,3,2,2,2,2
ENTJ,5,4,4,4,4,4,5,4,3,3,3,3,3,3,3,3
INTP,4,4,4,4,4,5,4,4,3,3,3,3,2,2,2,5
ENTP,4,4,5,4,5,4,4,4,3,3,3,3,2,2,2,2
ISFP,1,1,1,5,3,3,3,3,2,2,2,2,3,5,3,5
ESFP,1,1,1,1,3,3,3,3,2,2,2,2,5,3,5,3
ISTP,1,1,1,1,3,3,3,3,2,2,2,2,3,5,3,5
ESTP,1,1,1,1,3,3,3,3,2,2,2,2,5,3,5,3
ISFJ,1,1,1,1,2,3,2,2,3,5,3,5,4,4,4,4
ESFJ,1,1,1,1,2,3,2,2,5,3,5,3,4,4,4,4
ISTJ,1,1,1,1,2,3,2,2,3,5,3,5,4,4,4,4
ESTJ,1,1,1,1,2,3,5,2,5,3,5,3,4,4,4,4
